"","V1","V2"
"704",397960.142902503,4862561.58057821
"705",393313.974802178,4849893.10117098
"706",418258.761882469,4880196.66253413
"707",412427.436512156,4869748.57339621
"708",963397.503716968,4651907.37459431
"709",925179.725040039,4702499.91774625
"710",938133.938347688,4658122.08423872
"711",931904.44874737,4671959.86410111
"712",931264.360505483,4662830.05221889
"713",946438.238679416,4662681.60438813
"714",939778.056103779,4696066.31047926
"715",970582.02255411,4669741.1818602
"716",967898.862104763,4659532.77658324
"717",926868.514727582,4690506.16969658
"718",926797.58946984,4672947.99112185
"719",932847.552378179,4689225.52596875
"720",952934.408076228,4690258.90207328
"721",955544.056294433,4653506.15484638
"722",934159.902156973,4709015.81858793
"723",968715.027307334,4663580.07846154
"724",943483.912651931,4693369.87434678
"725",964133.675319229,4668269.25120838
"726",931943.120995616,4652073.34325167
"727",936419.123102703,4669241.65030843
"728",960157.309187252,4669277.21261719
"729",935473.351425981,4697899.51181347
"730",932983.19115077,4683736.67189068
"731",954176.826357231,4663386.69414635
"732",928783.292656807,4668491.42251879
"733",945842.276899172,4686968.05839076
"734",971234.081167841,4665201.67498833
"735",927610.82149762,4662544.92347603
"736",960259.55429945,4659515.19256026
"737",935362.343683791,4703019.54862746
"738",950207.639891203,4659485.08320415
"739",946697.96478778,4656977.30392112
"740",941778.446943772,4660012.70050548
"741",933829.927181127,4659911.96307673
"742",967334.73475195,4675721.46928909
"743",950006.4026747,4686115.40272047
"744",936682.318869933,4688632.89160419
"745",942607.146034909,4701170.7178857
"746",953555.66087689,4683201.74581693
"747",925128.325499222,4657864.41527786
"748",964139.355811907,4660010.7282876
"749",931489.161957534,4676920.36537156
"750",940746.41839846,4664044.86528952
"751",926997.372695202,4678645.15415924
"752",946107.809489069,4675823.76389864
"753",934024.774844095,4654728.49048487
"754",939597.276744867,4691160.85679991
"755",962563.367395663,4679844.88630035
"756",923722.245685861,4685209.49567887
"757",937166.336884265,4655118.86939314
"758",926833.669262305,4684922.64740719
"759",932174.085887365,4703579.14883501
"760",923542.449904675,4690869.01376159
"761",950509.428862755,4693388.3049422
"762",940353.673350654,4670985.94103063
"763",953175.837170929,4656476.80926029
"764",945756.416880691,4653929.82590498
"765",943984.020444693,4651852.22429225
"766",961087.969601256,4662844.10214415
"767",962374.219389047,4647471.80861322
"768",926582.005533078,4708692.74337377
"769",930747.012298829,4688337.83055947
"770",976141.873077831,4670963.14309839
"771",950492.931127327,4688202.4258423
"772",942530.341749232,4681178.33544525
"773",947907.440440038,4696612.31396796
"774",961954.09240948,4675769.53277581
"775",955762.802837035,4642665.46475751
"776",412975.341795811,4900892.49837334
"777",425973.35055847,4920086.6195705
"778",437803.648568172,4938494.67219334
"779",427630.564960738,4908332.11164239
"780",389803.621956728,4907310.46761939
"781",437641.92470251,4931485.89875816
